Store,Category,Mapped Category
pretend,T-Shirts,T-Shirts
pretend,Shirts,Shirts & Polos
pretend,Rails,Other Hardware
pretend,Wheels,Wheels
pretend,Backpacks,Bags
pretend,Risers,Other Hardware
pretend,Shorts,Bottoms
tuesdays,Underwear,Other Clothing
tuesdays,griptape,Other Hardware
tuesdays,Footwear,Shoes
tuesdays,Pants,Bottoms
tuesdays,Decks,Decks
tuesdays,Jackets,Outerwear
tuesdays,Hats,Hats & Beanies
tuesdays,Spray Paint,Other Hardware
tuesdays,scarf,Other Clothing
tuesdays,tool,Other Hardware
tuesdays,Toys,Other
tuesdays,Patches,Other Hardware
tuesdays,Hoods,Hoodies & Sweaters
tuesdays,Trucks,Trucks
tuesdays,Headwear,Hats & Beanies
tuesdays,Paint,Other Hardware
tuesdays,Bolts,Other Hardware
tuesdays,Knit,Other Clothing
tuesdays,magazine,DVDs & Media
tuesdays,Stickers,Other Hardware
tuesdays,Sunglasses,Accessories
tuesdays,socks,Other Clothing
tuesdays,Sweatshirts,Hoodies & Sweaters
tuesdays,Box Builder,Other
tuesdays,Smoking Accessories,Other Hardware
tuesdays,Wallets,Accessories
tuesdays,Bushings,Other Hardware
tuesdays,Hardware,Other Hardware
tuesdays,Belts,Accessories
tuesdays,Longsleeves,Other Clothing
tuesdays,Shorts,Bottoms
tuesdays,wax,Other Hardware
tuesdays,protection,Protection
tuesdays,Sliders,Other Hardware
tuesdays,Pens,Other Hardware
tuesdays,Completes,Completes
tuesdays,pins,Other Hardware
tuesdays,bags,Bags
tuesdays,Bearings,Other Hardware
tuesdays,beanies,Hats & Beanies
tuesdays,Accessories,Accessories
tuesdays,stickers,Other Hardware
tuesdays,T-Shirts,T-Shirts
tuesdays,shirts,Shirts & Polos
tuesdays,Rails,Other Hardware
tuesdays,Wheels,Wheels
tuesdays,Markers,Other Hardware
tuesdays,caps,Hats & Beanies
tuesdays,Voucher,Other
lariatt,Shoe Care,Accessories
lariatt,Insoles,Accessories
lariatt,Decks,Decks
lariatt,Jackets,Outerwear
lariatt,Gift Card,Other
lariatt,Trucks,Trucks
lariatt,Bolts,Other Hardware
lariatt,Stickers,Other Hardware
lariatt,Sunglasses,Accessories
lariatt,Skate Shoes,Shoes
lariatt,Caps,Hats & Beanies
lariatt,KIDS SKATE SHOES,Shoes
lariatt,Bushings,Other Hardware
lariatt,Parts,Other Hardware
lariatt,Skateboard Wax,Other Hardware
lariatt,Hoodies,Hoodies & Sweaters
lariatt,Beanie,Hats & Beanies
lariatt,MISC,Other
lariatt,Socks,Other Clothing
lariatt,Completes,Completes
lariatt,Bearings,Other Hardware
lariatt,GRIPTAPE,Other Hardware
lariatt,Riser Pads,Other Hardware
lariatt,BACKPACKS,Bags
lariatt,Skate Tool,Other Hardware
